Project;Auditor;Date;Language;Security Level;Status;Vulnerability details;Type;Subtype
TonUP;TonBit;2023-05;Tact;Minor;Fixed;Unintuitive judgment conditions in the claim function inconsistent with the finalize function;Common Errors;Logical Errors
TonUP;TonBit;2023-05;Tact;Informational;Fixed;Unnecessary transaction initiation when no new unlocks are available (jetton_claim_amount - already_claimed = 0).;Gas Control;Moderate Handling of Gas
TonUP;TonBit;2023-05;Tact;Medium;Fixed;Missing distribution_complete check in the launch_successful condition causing repeated calls to the distribute function.;Common Errors;Logical Errors
TonUP;TonBit;2023-05;Tact;Medium;Fixed;Unexpected abort in the withdraw dust function due to insufficient subtraction of myBalance.;Common Errors;Logical Errors
TonUP;TonBit;2023-05;Tact;Minor;Fixed;Missing time check for start_time and end_time in the SetLauncherConfig function.;Common Errors;Logical Errors
TonUP;TonBit;2023-05;Tact;Minor;Fixed;Incorrect event emit in SetTokenWalletAddress and SetUpWalletAddress functions.;Common Errors;Logical Errors
TON Locker Contract;Quantstamp;2023-07;FunC;Minor;Acknowledged;Missing validation for `vesting_total_duration` in `locker.load_data()`. Consider checking `vesting_total_duration > 0`.;Contract Design;Input Data Processing
TON Locker Contract;Quantstamp;2023-07;FunC;Minor;Acknowledged;Time constraints on rewards and deposits can lead to unfair distribution. Consider implementing a shorter time limit for reward distribution.;Common Errors;Logical Errors
TON Locker Contract;Quantstamp;2023-07;FunC;Minor;Acknowledged;Potential storage fee insufficiency in `locker_bill` contract. Consider limiting `vesting_start_time + vesting_total_duration`.;Gas Control;Moderate Handling of Gas
TON Locker Contract;Quantstamp;2023-07;FunC;Minor;Acknowledged;Overflow and division by zero errors in edge cases. Consider adding validations for `unlock_period`;Common Errors;Logical Errors
TON Locker Contract;Quantstamp;2023-07;FunC;Minor;Acknowledged;Risk of capital inefficiency in reward-lacking deposits. Consider preventing deposits if no reward is added.;Common Errors;Logical Errors
TON Locker Contract;Quantstamp;2023-07;FunC;Informational;Acknowledged;Inefficiency in reward reservation within the `locker` contract. Consider limiting reserved TON by checking the balance first.;Gas Control;Moderate Handling of Gas
TON Locker Contract;Quantstamp;2023-07;FunC;Informational;Acknowledged;Redundant checks of immutable values in `load_data()`. Consider executing checks only once.;Best Practices;Code Review
TON Locker Contract;Quantstamp;2023-07;FunC;Informational;Acknowledged;Lack of documentation for minor business logic. Consider documenting reward and deposit handling in `README.md`.;Best Practices;Documentation
Hipo Finance;Daniil Sedov;2023-10;FunC and TypeScript;Minor;Resolved;The JettonWallet smart contract allows for the withdrawal of surplus Toncoin but does not offer the capability to withdraw stuck Jettons. It is recommended to incorporate this feature for enhanced security.;Common Errors;Smart Contract Updates
Hipo Finance;Daniil Sedov;2023-10;FunC and TypeScript;Informational;Resolved;The majority of functions in utils.fc are marked with the impure specifier which isn't appropriate. Only functions that alter the contract's state should be designated as impure.;Possible Errors in FunC;Modifying Variables
Hipo Finance;Daniil Sedov;2023-10;FunC and TypeScript;Informational;Resolved;Within the recv_internal function in treasury.fc there's a retrieval of a slice with 66 zero bits using skip_bits, which expends gas. This can be optimized using an asm function.;Common Errors;Parsing and Serialization
Hipo Finance;Daniil Sedov;2023-10;FunC and TypeScript;Informational;Resolved;The opcodes for new operations appear to be miscalculated in relation to the established standards. For example, the opcode for deposit_coins should be 0x103af428 but is displayed as 0x1375a585.;Common Errors;Logical Errors
Hipo Finance;ScaleBit;2023-11;Func;Major;Pending;Centralization risk due to single administrator account controlling resource storage and modification.;Contract Design;Contract Design and Centralization
Hipo Finance;ScaleBit;2023-11;Func;Informational;Pending;Insufficient documentation comments in some functions reducing code readability and maintainability;Best Practices;Documentation
Hipo Finance;ScaleBit;2023-11;Func;Informational;Pending;Unnecessary variable definition and calculation in the deposit_coins function leading to gas inefficiency.;Gas Control;Moderate Handling of Gas
Hipo Finance;ScaleBit;2023-11;Func;Minor;Pending;Redundant impure specifier in return value type functions as they do not have side effects.;Possible Errors in FunC;Function Modifiers
TON Multisignature Wallet;Chainsulting;2024-02;FunC;Informational;Acknowledged;Missing development environment including separation of contracts and wrapper or the existence of unit tests.;Best Practices;Documentation
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Critical;Resolved;If there remain no more coins, then tokens are zeroed out but total_unstaking is not. This can lead to issues.;Common Errors;Logical Errors
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Informational;Resolved;"TEP-85 calls SBT destruction by central authority ""revocation"". Bills should use that including recording the revocation time for stats.";Best Practices;Documentation
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Medium;Resolved;Bill doesn't check if it's active when receiving burn request, which could lead to responding twice to burn requests.;Contract Design;Input Data Processing
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Minor;Resolved;Jetton wallet doesn't validate that forward_payload is in a reference if bit in Either is 1. Better to add validation.;Common Errors;Parsing and Serialization
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Medium;Resolved;Jetton wallet doesn't check if recipient is in basechain and doesn't use recipient workchain when calculating forward fee.;Contract Design;Input Data Processing
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Medium;Withdrawn;Checks in jetton wallet on lines 48-50 do not make sense. Suggest replacing with a check for sufficient fee.;Gas Control;Moderate Handling of Gas
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Minor;Resolved;"Jetton wallet doesn't allow sending 0 tokens, throwing an error ""err::insufficient_funds"". This can be used to initialize jetton wallet.";Common Errors;Logical Errors
hTON (Hipo staking protocol);ProgramCrafter;2024-03;FunC;Major;Resolved;"Jetton reception can fail on action phase if destination jetton wallet has a large storage fee due. Forward notification should use ""send::ignore_errors"".";Contract Design;Message Generation and Handling
